Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[Documetacion] - Diagrama de actores de negocio,IN-187,10905,Task,Awaiting Feedback,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:18 PM,21/May/26 1:05 AM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0013r:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,16/May/26 5:48 PM
[Backend] - Agregar mecanismo de encriptacion en consultas,IN-186,10904,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:12 PM,18/May/26 12:37 PM,,15/May/26 7:12 PM,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0013j:,Tablero Sprint 7,,,,,,,,,,Done,15/May/26 7:12 PM
[Test]: Revisar ABMs,IN-185,10871,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,27/Apr/26 8:21 PM,15/May/26 7:12 PM,03/May/26 12:42 AM,15/May/26 7:12 PM,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0013b:,Tablero Sprint 7,,,,,,,,,,Done,15/May/26 7:12 PM
[Documentación] Revisar Sprint 1,IN-184,10838,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,24/Apr/26 10:41 PM,15/May/26 7:11 PM,,15/May/26 7:11 PM,,0,"Revisar HU sprint 1, que el esquema sea igual en todos. Revisar HU Sprint 5",,Fernando Aparicio,,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,,,,,,,,,,,,,0|i00133:,Tablero Sprint 7,,,,,,,,,,Done,15/May/26 7:11 PM
[Documentación] Pasar DER a Confluence,IN-183,10837,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,24/Apr/26 10:20 PM,15/May/26 7:11 PM,,15/May/26 7:11 PM,,0,Distinción entre entidades maestras y transaccionales,,Fernando Aparicio,,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,,,,,,,,,,,,,0|i0012v:,Tablero Sprint 7,,,,,,,,,,Done,15/May/26 7:11 PM
[Documentación] Listado de Casos de Usos,IN-182,10836,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,24/Apr/26 10:16 PM,15/May/26 7:11 PM,06/May/26 8:03 PM,15/May/26 7:11 PM,,0,,,Fernando Aparicio,Mirko Ivo Wlk,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i0012n:,Tablero Sprint 7,,,,,,27/Apr/26 8:12 PM;5f5ac84710d187006f3f2792;[~accountid:712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7] Subido documantacion en repositorio de Documents,,,,Done,15/May/26 7:11 PM
[Documentación] Listados de ABMs,IN-181,10835,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,24/Apr/26 10:14 PM,15/May/26 7:11 PM,27/Apr/26 7:56 PM,15/May/26 7:11 PM,,0,"* Cada ABM justificado por un actor que lo necesita

* ABM completo de TODAS las entidades del DER

* Alta, baja, modificación y listado con persistencia real
* Validaciones básicas de integridad",,Fernando Aparicio,,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,,,,,,,,,,,,,0|i0012f:,Tablero Sprint 7,,,,,,,,,,Done,15/May/26 7:11 PM
[Documentación] Diccionario de datos,IN-180,10834,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,German Cochis,712020:14e93a8f-d13b-44f7-a13e-f4c9c7a355a1,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,24/Apr/26 10:14 PM,15/May/26 7:11 PM,,15/May/26 7:11 PM,,0,,,Fernando Aparicio,,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,,,,,,,,,,,,,0|i00127:,Tablero Sprint 7,,,,,,,,,,Done,15/May/26 7:11 PM
[Documentación] Ceremonias: Daily y retro,IN-179,10833,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Mariano Decalli,712020:7c5f1332-15fc-4f68-bd69-0aa430c7a5c1,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,24/Apr/26 10:13 PM,15/May/26 7:11 PM,,15/May/26 7:11 PM,,0,,,Fernando Aparicio,,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,,,,,,,,,,,,,0|i0011z:,Tablero Sprint 7,,,,,,,,,,Done,15/May/26 7:11 PM
[Documentación] Agregar Sprint 4 y 5 a confluence,IN-178,10800,Task,In Progress,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,23/Apr/26 5:24 PM,23/Apr/26 5:25 PM,,,,0,,,Fernando Aparicio,,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,,,,,,,,,,,,,0|i0011r:,Tablero Sprint 6,,,,,,,,,,In Progress,23/Apr/26 5:25 PM
[Documentación] Realizar glosario en Confluence,IN-177,10799,Task,In Progress,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,Fernando Aparicio,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,23/Apr/26 5:21 PM,23/Apr/26 5:22 PM,24/Apr/26 3:56 PM,,,0,Pasar a confluence lo que hay en documentación referido al glosario ,,Fernando Aparicio,,712020:928ce4a6-7177-46b7-b0cf-1a43fac7c8f7,,,,,,,,,,,,,0|i0011j:,Tablero Sprint 6,,,,,,,,,,In Progress,23/Apr/26 5:21 PM
[Test] Agregar capa para unit test en backend,IN-176,10766,Task,Done,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,Done,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,23/Apr/26 8:57 AM,04/May/26 2:22 PM,,04/May/26 2:22 PM,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0011b:,Tablero Sprint 6,,,,,,,,,,Done,04/May/26 2:22 PM
[Documentacion] Crear HU's Sprint 4,IN-175,10765,Task,For Review,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,23/Apr/26 8:55 AM,23/Apr/26 8:56 AM,23/Apr/26 7:44 PM,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i00113:,Tablero Sprint 6,,,,,,,,,,In Progress,23/Apr/26 8:56 AM
[Documentacion] Sprint 4,IN-174,10764,Task,For Review,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,23/Apr/26 8:54 AM,06/May/26 5:06 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0010v:,Tablero Sprint 6,,,,,,,,,,In Progress,23/Apr/26 8:55 AM
